2025-03-14 12:27:14,297 | WARNING  | helper_functions.py:142 | Error: Time index '1.981981981981982' or column 'Fx' not found.
2025-03-14 12:27:14,300 | WARNING  | helper_functions.py:142 | Error: Time index '1.991991991991992' or column 'Fx' not found.
2025-03-14 12:27:14,303 | WARNING  | helper_functions.py:142 | Error: Time index '2.002002002002002' or column 'Fx' not found.
2025-03-14 12:27:14,306 | WARNING  | helper_functions.py:142 | Error: Time index '2.012012012012012' or column 'Fx' not found.
2025-03-14 12:27:14,309 | WARNING  | helper_functions.py:142 | Error: Time index '2.022022022022022' or column 'Fx' not found.
2025-03-14 12:27:14,311 | WARNING  | helper_functions.py:142 | Error: Time index '2.032032032032032' or column 'Fx' not found.
2025-03-14 12:27:14,314 | WARNING  | helper_functions.py:142 | Error: Time index '2.042042042042042' or column 'Fx' not found.
2025-03-14 12:27:14,317 | WARNING  | helper_functions.py:142 | Error: Time index '2.052052052052052' or column 'Fx' not found.
2025-03-14 12:27:14,320 | WARNING  | helper_functions.py:142 | Error: Time index '2.062062062062062' or column 'Fx' not found.
2025-03-14 12:27:14,323 | WARNING  | helper_functions.py:142 | Error: Time index '2.0720720720720722' or column 'Fx' not found.
2025-03-14 12:27:14,325 | WARNING  | helper_functions.py:142 | Error: Time index '2.0820820820820822' or column 'Fx' not found.
2025-03-14 12:27:14,328 | WARNING  | helper_functions.py:142 | Error: Time index '2.0920920920920922' or column 'Fx' not found.
